ZIP Code,Median Household Income,Zip Code City ,Zip Code County,Zip Area Neighborhoods/Major Roads,"Population, 2018 Est. 1","No. Of Households, 2018 Est.","Per Capita Income, 2018 Est.","Median Value Of Owner Occupied Homes, 2018 Est.","No. Of Households With Income $200K+, 2108 Est.",No. With Master's Degrees,No. With Bachelor's Degree
78732 ,"$156,599 ",Austin,Travis,Lake Travis; Steiner Ranch area,"17,849","5,831","$66,799 ","$519,100 ","2,009","2,501","4,903"
78733 ,"$154,543 ",Austin,Travis,West: Hwy. 71; Barton Creek Blvd.; FM 2244 ,"8,611","2,923","$74,320 ","$579,500 ","1,165","1,104","2,183"
78739 ,"$150,000 ",Austin,Travis,Southwest: Circle C; Slaughter Ln.; MoPac Expy.,"20,312","6,476","$57,555 ","$447,500 ","2,099","2,740","5,607"
78746 ,"$139,951 ",Austin,Travis,Westlake area,"28,495","10,867","$84,782 ","$851,900 ","4,009","4,201","8,997"
78737 ,"$132,245 ",Austin,Hays,Far Southwest: FM 1826; Hwy. 290 before Dripping Springs,"16,160","5,341","$54,039 ","$428,000 ","1,242","1,871","4,283"
78619 ,"$131,613 ",Driftwood,Hays,Far Southwest: FM 1826; FM 150,"4,476","1,556","$54,791 ","$465,500 ",453,400,989
78738 ,"$130,699 ",Austin,Travis,West: Bee Cave; Hwy. 71,"15,589","5,977","$65,842 ","$553,000 ","1,733","1,800","5,142"
78734 ,"$115,458 ",Austin,Travis,Lakeway area; Hudson Bend ,"18,745","7,424","$59,634 ","$406,800 ","1,675","1,859","5,306"
78730 ,"$112,333 ",Austin,Travis,West: FM 2222; Riverplace Blvd.,"9,186","3,810","$82,238 ","$700,300 ","1,274","1,321","2,920"
78717 ,"$110,085 ",Austin,Williamson,Northwest: W. Parmer Ln.; SH-45,"30,218","10,347","$45,879 ","$347,900 ","1,535","3,831","7,199"
78669 ,"$109,963 ",Spicewood,Travis,Briarcliff area: Hwy. 71; Hwy. 281,"12,106","4,459","$51,262 ","$455,600 ",885,"1,177","3,037"
78736 ,"$109,012 ",Austin,Travis,"Southwest, Oak Hill area","9,047","3,278","$52,693 ","$330,000 ",571,674,"2,523"
78701 ,"$107,190 ",Austin,Travis,Downtown Austin,"9,427","5,571","$99,948 ","$435,400 ","1,438","1,443","3,891"
78703 ,"$105,207 ",Austin,Travis,Central West: Tarrytown; W. 35th St.; Lake Austin Blvd,"20,890","9,479","$85,040 ","$822,800 ","2,860","4,265","6,581"
78681 ,"$103,681 ",Round Rock,Williamson,North: I-35; Sam Bass Rd.; FM 1431,"56,959","17,105","$38,595 ","$281,200 ","2,224","4,699","12,355"
78613 ,"$101,832 ",Cedar Park,Williamson,Brushy Creek; FM 1431. Hwy. 183,"79,699","26,122","$39,885 ","$275,900 ","3,271","6,498","17,266"
78620 ,"$101,236 ",Dripping Springs,Hays,Far Southwest; Hwy. 290,"16,882","5,805","$48,563 ","$382,900 ","1,162","1,340","3,875"
78749 ,"$98,953 ",Austin,Travis,Southwest: Brodie Ln.; Slaughter Ln; Escarpment Blvd. ,"37,774","15,428","$48,575 ","$322,400 ","1,674","5,311","11,117"
78735 ,"$97,636 ",Austin,Travis,Southwest Pkwy; Barton Creek Blvd.,"17,923","7,352","$67,415 ","$482,400 ","1,679","2,329","4,914"
78642 ,"$97,316 ",Liberty Hill,Williamson,Hwy. 183 at Hwy. 29,"11,817","3,639","$36,189 ","$283,100 ",456,611,"1,713"
78665 ,"$96,049 ",Round Rock,Williamson,I-35; Old Settlers Blvd.; Hwy. 79,"48,362","14,639","$35,021 ","$252,000 ",198,"3,584","8,804"
78641 ,"$94,685 ",Leander,Travis,Nameless Rd.; Hwy. 183,"65,654","20,060","$36,055 ","$236,400 ","2,092","3,576","11,041"
78731 ,"$94,048 ",Austin,Travis,Bull Creek area; FM 2222; Mesa Dr.,"27,175","12,458","$69,343 ","$606,000 ","3,027","4,807","7,963"
78750 ,"$91,585 ",Austin,Travis,Northwest: Anderson Mill area; Hwy. 183,"30,847","11,724","$51,125 ","$388,900 ","2,282","4,108","7,513"
78628 ,"$88,564 ",Georgetown,Williamson,Cimarron Hills area; Hwy. 29 ,"32,946","11,546","$43,077 ","$287,500 ","1,666","2,646","6,073"
78660 ,"$83,499 ",Pflugerville,Travis,Wells Branch Pkwy.; SH-130,"89,830","29,945","$33,870 ","$214,600 ","1,782","4,854","15,392"
78756 ,"$82,705 ",Austin,Travis,"Central: MoPac Expy., 45th St. and Burnet Rd.","8,323","4,336","$59,679 ","$493,200 ",596,"1,483","2,978"
78652 ,"$82,328 ",Manchaca,Travis,South: FM 1626; Bliss Spillar Rd.,"5,504","2,169","$39,023 ","$280,100 ",218,414,"1,254"
78747 ,"$81,184 ",Austin,Travis,Onion Creek area; I-35; SH-45; Hwy. 183 ,"20,166","6,558","$30,099 ","$222,700 ",256,"1,108","2,991"
78759 ,"$81,066 ",Austin,Travis,North: MoPac Expy.; Hwy. 183; Spicewood Springs Rd.,"42,524","20,454","$53,867 ","$414,600 ","2,952","6,712","12,516"
78662 ,"$79,406 ",Red Rock,Bastrop,Far Southeast: Hwy. 20; FM 812,"2,298",863,"$31,151 ","$171,100 ",19,101,169
78610 ,"$79,318 ",Buda,Hays,I-35; FM 967; FM 1626,"35,142","12,084","$33,389 ","$241,500 ",720,"2,110","6,014"
78727 ,"$78,542 ",Austin,Travis,North: Metric Blvd.; W. Parmer Ln.,"29,509","13,242","$43,943 ","$271,200 ",951,"3,768","8,420"
78633 ,"$78,207 ",Georgetown,Williamson,Far North: Sun City Blvd.; Williams Dr.,"25,847","11,702","$46,411 ","$299,200 ","1,141","3,616","6,330"
78726 ,"$77,935 ",Austin,Travis,Lake Travis: Bullock Hollow Rd.; RR 620,"13,867","5,520","$48,434 ","$447,400 ",886,"1,616","4,155"
78748 ,"$77,700 ",Austin,Travis,South: I-35; W. Ditmar Rd.; FM 1626,"50,997","19,385","$35,891 ","$256,200 ","1,124","4,264","11,253"
78729 ,"$76,832 ",Austin,Williamson,"Jollyville: Hw. 183, SH-45; McNeil Rd.","29,315","12,483","$40,494 ","$261,800 ",640,"2,918","7,269"
78634 ,"$76,468 ",Hutto,Williamson,Northeast: Hwy. 79; SH-130; Chandler Rd.,"30,934","9,300","$28,472 ","$189,600 ",315,"1,343","4,005"
78645 ,"$76,396 ",Leander,Travis,Lago Vista; Lohman Ford Rd.; FM 1431 ,"11,254","4,634","$42,937 ","$237,100 ",443,563,"2,233"
