OBJECTID,NAME,OWNER,NOTES,CITY,FEATTYPE,STATUS,SOURCE,SOURCE_YEAR,ShapeSTArea,ShapeSTLength
1,Bob Jones Park,,,Southlake,Local Park,Existing,City of Southlake,2017,11526485.1357422,29608.8294199657
2,Lonesome Dove Park,,,Southlake,Local Park,Existing,City of Southlake,2017,342889.448242188,2740.81727640831
3,Liberty Park at Sheltonwood,,,Southlake,Local Park,Existing,City of Southlake,2017,766854.458984375,4852.91210158583
4,Bicentennial Park,,,Southlake,Local Park,Existing,City of Southlake,2017,3494158.25292969,9201.49672776965
5,Royal & Annie Smith Park,,,Southlake,Local Park,Existing,City of Southlake,2017,571054.448242188,3494.50865289363
6,Chesapeake Park,,,Southlake,Local Park,Existing,City of Southlake,2017,478714.948242188,3797.83150758395
7,Noble Oaks Park,,,Southlake,Local Park,Existing,City of Southlake,2017,191981.984375,1799.40328742497
8,Koalaty Park,,,Southlake,Local Park,Existing,City of Southlake,2017,248220.926757812,2184.60204589222
9,Oak Pointe Park,,,Southlake,Local Park,Existing,City of Southlake,2017,355614.315429688,5710.12756090586
10,Family Park,,,Southlake,Local Park,Existing,City of Southlake,2017,35247.2900390625,752.436000795776
11,Rustin Park,,,Southlake,Local Park,Existing,City of Southlake,2017,40968.646484375,809.288377281108
12,Twin Star Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,181896.03125,1759.91242135484
13,Columbia Park,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,84838.76171875,1200.66110159995
14,Paddle Point/N Lakeside,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,735614.78125,8033.0133970731
15,Kenwood Heights,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,149958.982421875,3385.49485136313
16,Veterans Memorial Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,27516.380859375,877.145830551389
17,Muddy Creek Park,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,11587543.3789062,22210.5656083632
18,Mayors Park,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,252525.390625,2332.65956834021
19,Environmental Learning Center,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,190907.64453125,1862.6736726889
20,Lakeview Meadow Estates Park,,Open Space,Rowlett,Local Park,Existing,City of Rowlett,2017,48301.05078125,886.374732857052
21,Herfurth Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,1059641.0625,5382.61082380905
22,Lake Highlands-LRH Greenbelt,,Greenbelt,Rowlett,Local Park,Existing,City of Rowlett,2017,227426.404296875,3568.84104864914
23,Isaac Scruggs Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,235084.359375,4340.38421353663
24,Katy Railroad Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,703869.1640625,3673.75702664294
25,Shorewood Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,613037.197265625,3210.8464419589
26,Peninsula Greenbelt,,Greenbelt,Rowlett,Local Park,Existing,City of Rowlett,2017,499136.236328125,10827.1798178325
27,Rowlett Community Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,5607263.60742188,10308.8863787247
28,Lakeside Park,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,383535.30078125,8762.41941041553
29,Henry M Chandler Park,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,179811.23828125,1840.58601815648
30,Yellow Jacket Park,City of Rockwall,Sports Complex,Rockwall,Local Park,Existing,City of Rockwall,2020,321083.998046875,2723.18901370578
31,Jewel Park,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,151692.470703125,2133.75025808678
32,Shores Park,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,518241.73828125,3795.70827855293
33,Harry Myers Park,City of Rockwall,Community Park,Rockwall,Local Park,Existing,City of Rockwall,2020,2913592.5703125,7567.18429117483
34,Northshore Park,City of Rockwall,Park/School,Rockwall,Local Park,Existing,City of Rockwall,2020,432096.201171875,3478.84861551663
35,Lofland Park,City of Rockwall and RISD,Mini-Park,Rockwall,Local Park,Existing,City of Rockwall,2020,92024.44921875,1499.42972857502
36,The Lakes of Squabble Creek Park,City of Rockwall,Community Park,Rockwall,Local Park,Existing,City of Rockwall,2020,7304201.6328125,21297.6516725357
37,Clark Street Park,City of Rockwall,Mini-Park,Rockwall,Local Park,Existing,City of Rockwall,2020,57633.37109375,1179.39804269778
38,Spring Sports Complex,RISD,School Park,Rockwall,Local Park,Existing,City of Rockwall,2020,892841.021484375,5264.14168514922
39,Meadowcreek #1 - Madison,City of Rockwall,Greenbelts and Greenways,Rockwall,Local Park,Existing,City of Rockwall,2020,758553.384765625,5286.99139142372
40,Meadowcreek #2 - Foxwood,City of Rockwall,Greenbelts and Greenways,Rockwall,Local Park,Existing,City of Rockwall,2020,730951.5703125,6268.56883900317
41,Emerald Bay Park,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,517930.93359375,5207.49323402554
