OBJECTID,Name,FIRST_ParkID,FIRST_Address,SUM_Park_Acres,FIRST_AcreSource,FIRST_ParkType,FIRST_YearOpen,FIRST_ParkStatus,FIRST_StatusCmnt,FIRST_ServicArea,FIRST_MgtPriorty,FIRST_Landowner,FIRST_AgencyName,FIRST_Development_Status,FIRST_Planning_Project_Mgt_Area,FIRST_Website_Name,FIRST_Website_Hyperlink,Shape_Length,Shape_Area
1,Allen Memorial Park,AM00,"6413 Westside Drive, Austin, TX 78731",10,Deed,Neighborhood Park,1945,Open,,0-5 miles,Passive Park,Travis County,Travis County Parks,Developed,Travis County Other,allen,https://parks.traviscountytx.gov/parks/allen,2588.06514349328,415107.774258448
2,Arkansas Bend Park,AB00,"16900 Cherry Lane, Lago Vista, TX 78645",160.21666184,GIS Value,Regional Park,,Open_Fee,Day use fee applies. Other fees may also apply. ,0-100 miles,Passive Park,LCRA,Travis County Parks,Developed,Lake Travis,arkansas-bend,https://parks.traviscountytx.gov/parks/arkansas-bend,25069.5670081387,6979011.05830528
3,Barkley Meadows Park,BM00,"4529 S SH 130 SVRD NB, Del Valle, TX 78617",255.252,Deed,Community Park,2014,Open,,0-25 miles,Passive Park,Travis County,Travis County Parks,Developed,Onion Creek Greenway,barkley-meadows,https://parks.traviscountytx.gov/parks/barkley-meadows,26820.431427191,11148146.9089721
4,Ben E. Fisher Park,BF00,"600 W Carrie Manor St, Manor, TX 78653",6,Deed,Neighborhood Park,1986,Open,No day use fee. Shelter fees apply.,0-5 miles,Passive Park,Travis County,Travis County Parks,Developed,Gilleland Creek Greenway,ben-fisher,https://parks.traviscountytx.gov/parks/ben-fisher,2652.14367580155,261503.333451003
5,Bob Wentz Park at Windy Point,BW00,"7144 Comanche Trail, Austin, TX 78732",86.31139938,Parcel,Regional Park,1993,Open_Fee,Day use fee applies. Other fees may also apply. ,0-100 miles,Passive Park,Travis County,Travis County Parks,Developed,Lake Travis,bob-wentz,https://parks.traviscountytx.gov/parks/bob-wentz,15567.3471068057,3724270.27753663
6,Cypress Creek Park,CC00,"13601 Bullick Hollow Rd, Austin, TX 78726",29.52751563,GIS Value,Community Park,,Open_Fee,Day use fee applies. Other fees may also apply. ,0-25 miles,Passive Park,LCRA,Travis County Parks,Developed,Lake Travis,cypress-creek,https://parks.traviscountytx.gov/parks/cypress-creek,16969.026923655,1286213.43589308
7,Del Valle Adult Softball Complex,DV00,"3614 FM 973, Del Valle, TX 78617",11.71940946,GIS Value,Community Park,1975,Open,"No day use fee. Athletic field, shelter, and concession building fees apply.",0-25 miles,Special Use Area,Travis County,Travis County Parks,Developed,Travis County Other,del-valle,https://parks.traviscountytx.gov/parks/del-valle,2824.58145397278,510495.4339786
8,Dink Pearson Park,DP00,"3011 Lohmans Ford Rd, Lago Vista, TX 78645",3.6,Deed,Neighborhood Park,1941,Open,,0-5 miles,Passive Park,Travis County,Travis County Parks,Undeveloped,Lake Travis,dink-pearson,https://parks.traviscountytx.gov/parks/dink-pearson,2054.12647734031,156447.185468664
9,East Metro Park,EM00,"18667 Blake Manor Rd, Manor TX 78653",272.897,Deed,Metropolitan Park,2004,Open,"No day use fee. Athletic field, shelter, community pavilion, and concession building fees apply.",0-100 miles,Mixed-use Park,Travis County,Travis County Parks,Developed,Travis County Other,east-metro,https://parks.traviscountytx.gov/parks/east-metro,17174.4749479771,11907313.251669
10,Fritz Hughes Park,FH00,"3100 Fritz Hughes Park Rd, Austin, TX 78732",5,Deed,Neighborhood Park,1939,Open,,0-5 miles,Passive Park,Travis County,Travis County Parks,Developed,Lake Austin,fritz-hughes,https://parks.traviscountytx.gov/parks/fritz-hughes,2155.17134106918,234775.360100097
