"Park Name","Address","Acres of Land","",""
"Bee Cave Sculpture Park","13333 TX-71, Bee Cave, TX 78738","7","",""
"City Of Bee Cave Central Park","13742 Bee Cave Pkwy, Bee Cave, TX 78738","50","",""
"Dog Park","13676 Bee Cave Parkway, Austin, TX 78738","10","",""
"Ecology Action - Circle Acres Nature Preserve","Grove Blvd, Austin, TX 78741","9.7","",""
"Falconhead West Primitive Park","Rockies Run Summit, Austin, TX 78738","50","",""
"Hills Park","3 The Hills Dr, The Hills, TX 78738","5","",""
"Katherine Fleischer Park","2106 Klattenhoff Dr, Austin, TX 78728","22","",""
"Kennedy Grace Park","Kennedy Grace Ln, Austin, TX 78728","3.5","",""
"Lady Bird Johnson Wildflower Center","4801 La Crosse Ave, Austin, TX 78739","284","",""
"McKinney Falls State Park","5808 McKinney Falls Pkwy, Austin, TX 78744","744.32","",""
"Mills Pond Recreation Area","15108 Wells Port Dr, Austin, TX 78728","15","",""
"Riverside Golf Course","1020 Grove Blvd, Austin, TX 78741","120","",""
"Spanish Oaks Golf Course","13001 Spanish Oaks Club Dr, Austin, TX 78738","20","",""
"Wells Branch Parks And Trail","Unnamed Road, Austin, TX 78728","5","",""
"Wells Branch Disc Golf Course","Owen-Tech Blvd, Austin, TX 78728","120","",""
"Willow Bend Park","2801 Sauls Dr, Austin, TX 78728","5","",""
